               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.025533,            0.026764,           0.0046645,             0.97641,             0.97973,             0.98992,             0.83381,            0.017223,            0.014606,            0.001721,             0.00676,             0.00676,             0.00676
                  74,            0.026153,            0.029401,           0.0051477,             0.98172,             0.98397,             0.99329,             0.83713,            0.016369,            0.014646,           0.0015294,            0.006715,            0.006715,            0.006715
                  75,            0.026612,            0.029704,           0.0053286,             0.97518,               0.986,             0.99216,             0.82283,            0.016852,            0.014832,           0.0015839,             0.00667,             0.00667,             0.00667
                  76,            0.026347,            0.030069,           0.0052115,             0.98333,             0.97789,             0.99234,             0.84105,            0.016397,            0.014782,           0.0014788,            0.006625,            0.006625,            0.006625
                  77,            0.025985,            0.031074,            0.004899,             0.97307,             0.99061,             0.99265,             0.85538,            0.015309,            0.013829,           0.0014149,             0.00658,             0.00658,             0.00658
                  78,            0.026772,            0.031492,           0.0051635,             0.96203,             0.97274,              0.9876,             0.84949,            0.015438,            0.013873,           0.0016069,            0.006535,            0.006535,            0.006535
                  79,            0.025657,            0.028861,           0.0047147,             0.98719,             0.98333,             0.99135,             0.84563,            0.015385,            0.013752,           0.0014037,             0.00649,             0.00649,             0.00649
                  80,            0.025933,            0.028563,           0.0048468,             0.98896,             0.98544,             0.99239,             0.84969,            0.016258,             0.01406,           0.0013002,            0.006445,            0.006445,            0.006445
                  81,            0.025776,            0.029617,           0.0047169,             0.99159,             0.98515,             0.99348,             0.86132,            0.015268,            0.013772,           0.0012723,              0.0064,              0.0064,              0.0064
                  82,            0.024949,            0.028227,           0.0045999,             0.99036,             0.99121,             0.99407,             0.85961,            0.015695,            0.013652,           0.0012504,            0.006355,            0.006355,            0.006355
                  83,            0.024934,            0.028585,           0.0046983,             0.99243,             0.98555,             0.99302,             0.85212,            0.016348,            0.014003,           0.0014447,             0.00631,             0.00631,             0.00631
                  84,            0.024761,            0.027559,            0.004342,             0.99153,             0.98867,             0.99294,             0.85839,            0.016311,            0.013851,           0.0012582,            0.006265,            0.006265,            0.006265
                  85,            0.024775,            0.027179,            0.004628,             0.98305,             0.98703,             0.99205,             0.86104,            0.015545,            0.013525,           0.0013338,             0.00622,             0.00622,             0.00622
                  86,            0.024928,            0.029348,           0.0047625,             0.98066,             0.98931,             0.99207,             0.86399,            0.015072,            0.013709,           0.0014613,            0.006175,            0.006175,            0.006175
                  87,            0.025645,            0.029587,           0.0050844,             0.98909,             0.98631,             0.99207,             0.85943,            0.015118,            0.013582,           0.0013866,             0.00613,             0.00613,             0.00613
                  88,            0.024376,            0.028056,           0.0043146,             0.99424,              0.9885,             0.99223,             0.86018,            0.015111,            0.013554,           0.0013205,            0.006085,            0.006085,            0.006085
                  89,            0.025174,            0.029863,            0.004705,             0.98254,              0.9884,             0.99245,             0.86831,             0.01434,            0.013215,           0.0013169,             0.00604,             0.00604,             0.00604
                  90,            0.024552,            0.028676,           0.0045219,             0.98126,             0.98686,             0.99205,             0.86392,             0.01474,            0.013349,           0.0011672,            0.005995,            0.005995,            0.005995
                  91,            0.024883,            0.028178,           0.0044075,             0.98368,             0.98532,             0.99135,             0.85877,            0.014874,            0.013241,           0.0012657,             0.00595,             0.00595,             0.00595
                  92,            0.023858,            0.028794,           0.0045515,             0.98156,             0.98984,             0.99172,             0.85962,            0.015226,             0.01346,           0.0013958,            0.005905,            0.005905,            0.005905
                  93,            0.023902,            0.027843,           0.0044249,             0.98848,             0.99085,             0.99327,             0.85899,            0.015385,            0.013726,           0.0012478,             0.00586,             0.00586,             0.00586
                  94,            0.023672,            0.026508,           0.0038933,             0.98875,             0.98962,             0.99257,             0.85854,            0.015304,            0.013658,           0.0011197,            0.005815,            0.005815,            0.005815
                  95,            0.023361,            0.027104,           0.0040806,             0.98929,             0.99116,             0.99356,             0.86297,            0.014442,            0.013333,           0.0010678,             0.00577,             0.00577,             0.00577
                  96,            0.023846,            0.029384,           0.0044507,             0.98754,             0.98646,             0.99239,             0.87006,            0.014425,            0.013192,           0.0012808,            0.005725,            0.005725,            0.005725
                  97,             0.02373,            0.028157,           0.0038544,             0.98191,             0.99143,             0.99259,             0.87403,            0.014153,            0.012875,           0.0012062,             0.00568,             0.00568,             0.00568
                  98,            0.023098,            0.027186,           0.0040934,             0.99307,             0.99168,             0.99303,             0.87673,            0.014094,            0.012939,           0.0010929,            0.005635,            0.005635,            0.005635
                  99,            0.022747,            0.025792,           0.0037966,             0.99448,             0.99167,             0.99339,             0.87578,            0.014188,             0.01287,           0.0010004,             0.00559,             0.00559,             0.00559
                 100,            0.023583,            0.026335,           0.0041027,             0.99446,             0.99207,             0.99389,             0.87149,            0.014417,            0.013142,           0.0010402,            0.005545,            0.005545,            0.005545
                 101,            0.023534,            0.027043,            0.004314,             0.99601,             0.99133,             0.99428,             0.86759,            0.015217,             0.01303,           0.0010875,              0.0055,              0.0055,              0.0055
                 102,            0.024059,            0.025641,           0.0041282,              0.9938,             0.98891,             0.99363,             0.88235,            0.013597,            0.012749,           0.0011031,            0.005455,            0.005455,            0.005455
                 103,            0.023828,             0.02819,           0.0043551,             0.99482,             0.99156,             0.99424,             0.88186,            0.013698,             0.01257,          0.00094819,             0.00541,             0.00541,             0.00541
                 104,            0.022847,            0.025436,           0.0038208,             0.99339,             0.99217,             0.99369,             0.87152,            0.013987,            0.012939,           0.0009387,            0.005365,            0.005365,            0.005365
                 105,            0.022942,            0.026331,           0.0042033,             0.98994,             0.99098,             0.99441,             0.87387,            0.014088,            0.012761,           0.0010712,             0.00532,             0.00532,             0.00532
                 106,            0.022741,            0.024981,           0.0041113,             0.99518,             0.98867,             0.99442,              0.8852,            0.013263,            0.012415,           0.0010616,            0.005275,            0.005275,            0.005275
                 107,            0.022655,            0.026902,           0.0039346,             0.99458,             0.99159,             0.99415,             0.88997,            0.013301,            0.012478,              0.0011,             0.00523,             0.00523,             0.00523
                 108,            0.022526,            0.027302,           0.0038713,             0.99295,              0.9921,             0.99433,             0.89822,            0.012434,            0.012145,          0.00099118,            0.005185,            0.005185,            0.005185
                 109,            0.022033,             0.02569,           0.0037193,             0.99463,             0.99104,             0.99465,             0.88478,            0.013547,            0.012583,          0.00091007,             0.00514,             0.00514,             0.00514
                 110,            0.023489,            0.027288,            0.003851,             0.99556,             0.99292,             0.99452,               0.893,              0.0131,            0.012347,          0.00094154,            0.005095,            0.005095,            0.005095
                 111,            0.021987,            0.023662,           0.0040061,              0.9923,             0.99522,              0.9946,             0.89478,            0.012584,            0.011993,          0.00095801,             0.00505,             0.00505,             0.00505
                 112,            0.021684,            0.025066,           0.0038875,             0.99514,             0.99635,             0.99467,             0.89034,            0.013551,            0.012205,           0.0010377,            0.005005,            0.005005,            0.005005
                 113,            0.021937,            0.025024,           0.0038433,              0.9948,             0.99412,             0.99463,             0.88259,            0.012821,            0.012052,           0.0010096,             0.00496,             0.00496,             0.00496
                 114,            0.021019,             0.02497,           0.0035464,             0.99466,             0.99658,             0.99471,             0.89066,            0.012645,            0.012062,           0.0008994,            0.004915,            0.004915,            0.004915
